codigo,setor,preco,liquidez,dividend_yield,dividend_yield_12,P/VPA,score,tipo_desenvolvimento,tipo_fundos,tipo_papel,tipo_tijolo
VISC11,Shoppings,101.0,24853.0,0.69,7.71,0.88,4.5,0,0,0,1
VRTA11,Títulos e Val. Mob.,97.8,24262.0,1.24,13.51,1.02,4.3,0,0,1,0
BRCO11,Logística,98.54,23140.0,0.78,7.55,0.83,4.1,0,0,0,1
RBRF11,Títulos e Val. Mob.,67.91,22943.0,0.83,9.65,0.81,4.2,0,1,0,0
TRXF11,Outros,98.38,21382.0,1.07,9.67,1.01,4.1,0,0,0,1
RZAK11,Títulos e Val. Mob.,96.61,20283.0,1.84,14.86,1.03,4.2,0,0,1,0
VILG11,Logística,95.51,19907.0,0.74,7.97,0.84,4.5,0,0,0,1
VGIR11,Títulos e Val. Mob.,98.0,19680.0,1.31,11.17,1.02,4.2,0,0,1,0
RBRP11,Outros,57.3,19206.0,0.71,7.55,0.7,4.3,0,0,0,1
VINO11,Lajes Corporativas,44.13,17802.0,0.77,9.8,0.81,4.4,0,0,0,1
BBPO11,Lajes Corporativas,80.25,14848.0,1.11,11.54,0.84,4.2,0,0,0,1
ALZR11,Logística,116.5,14764.0,0.68,7.43,1.07,4.3,0,0,0,1
HFOF11,Títulos e Val. Mob.,70.01,14462.0,0.86,9.06,0.84,4.3,0,1,0,0
KNRI11,Híbrido,131.48,14025.0,0.64,7.02,0.84,4.5,0,0,0,1
MALL11,Shoppings,101.34,13955.0,0.71,8.1,0.94,4.2,0,0,0,1
GGRC11,Logística,109.2,13223.0,0.85,9.05,0.84,4.5,0,0,0,1
RBHG11,Títulos e Val. Mob.,87.4,12210.0,1.67,14.91,0.91,4.2,0,0,1,0
HGRE11,Lajes Corporativas,129.68,11317.0,0.6,8.09,0.8,4.4,0,0,0,1
AFHI11,Títulos e Val. Mob.,99.8,10027.0,1.37,14.4,1.03,4.5,0,0,1,0
VCJR11,Títulos e Val. Mob.,101.29,9494.0,1.28,15.74,1.07,4.3,0,0,1,0
XPIN11,Outros,73.2,9073.0,0.8,8.5,0.67,4.1,0,0,0,1
BCRI11,Títulos e Val. Mob.,109.63,8629.0,1.34,13.61,1.02,4.2,0,0,1,0
HGFF11,Títulos e Val. Mob.,71.21,8490.0,0.87,9.23,0.8,4.2,0,1,0,0
RECT11,Híbrido,57.4,8331.0,0.85,8.99,0.59,4.3,0,0,0,1
CXCO11,Lajes Corporativas,75.49,7889.0,0.98,9.88,0.78,4.6,0,0,0,1
HGBS11,Shoppings,173.24,7860.0,0.81,7.12,0.8,4.5,0,0,0,1
BTAL11,Outros,94.62,7809.0,0.84,9.81,0.91,4.4,0,0,0,1
BCIA11,Títulos e Val. Mob.,82.92,5063.0,0.89,9.42,0.79,4.1,0,1,0,0
